TableName,ColumnName,Expression
LocalDateTable_3087ccb9-8b58-43f8-81cf-27ccfe3d1924,Dia,DAY([Date])
LocalDateTable_de9d5e7b-3add-4b0f-a0ed-da6d8ada6cb4,Ano,YEAR([Date])
LocalDateTable_de9d5e7b-3add-4b0f-a0ed-da6d8ada6cb4,MonthNo,MONTH([Date])
LocalDateTable_de9d5e7b-3add-4b0f-a0ed-da6d8ada6cb4,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_de9d5e7b-3add-4b0f-a0ed-da6d8ada6cb4,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_de9d5e7b-3add-4b0f-a0ed-da6d8ada6cb4,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_de9d5e7b-3add-4b0f-a0ed-da6d8ada6cb4,Dia,DAY([Date])
LocalDateTable_80d0899c-9440-4568-b951-b09913b93688,Ano,YEAR([Date])
LocalDateTable_80d0899c-9440-4568-b951-b09913b93688,MonthNo,MONTH([Date])
LocalDateTable_80d0899c-9440-4568-b951-b09913b93688,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_80d0899c-9440-4568-b951-b09913b93688,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_80d0899c-9440-4568-b951-b09913b93688,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_80d0899c-9440-4568-b951-b09913b93688,Dia,DAY([Date])
